
Id,Total processor time, Responding, Name,Physical memory usage,Base priority, User processor time, Privileged processor time,  Paged system memory size, Paged memory size
32496,03:42:16.2968750,True,VideoOS.Recorder.Service.TrayController,43446272,8,Normal,03:41:46.0312500,00:00:30.3593750,409888,16011264
ID, TotalProcessorTime(sec),ThreadState, WaitReason,StartAddress 
21328,00:27:53.4062500,Wait,ExecutionDelay,439625264
20144,00:27:51.4218750,Wait,ExecutionDelay,439625264
11036,00:27:49.0156250,Wait,ExecutionDelay,439625264
22856,00:27:48.4843750,Wait,ExecutionDelay,439625264
19020,00:27:45.0625000,Wait,ExecutionDelay,439625264
3832,00:27:43.9375000,Wait,ExecutionDelay,439625264
13916,00:27:42.2031250,Wait,ExecutionDelay,439625264
2628,00:27:41.1250000,Wait,ExecutionDelay,439625264
27592,00:00:01.7031250,Wait,UserRequest,439625264
30152,00:00:00.0156250,Wait,UserRequest,439625264
2392,00:00:00,Wait,UserRequest,439625264
22412,00:00:00,Wait,UserRequest,439625264
30624,00:00:00,Wait,EventPairLow,439625264
24988,00:00:00,Wait,EventPairLow,439625264
